AudioPath,Label
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a01Fa.wav,happy
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a01Nc.wav,neutral
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a01Wa.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a02Fc.wav,happy
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a02Nc.wav,neutral
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a02Ta.wav,sad
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a02Wb.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a02Wc.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a04Ad.wav,fear
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a04Fd.wav,happy
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a04Lc.wav,boredom
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a04Nc.wav,neutral
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a04Ta.wav,sad
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a04Wc.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a05Aa.wav,fear
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a05Fc.wav,happy
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a05Nd.wav,neutral
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a05Tc.wav,sad
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a05Wa.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a05Wb.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a07Fa.wav,happy
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a07Fb.wav,happy
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a07La.wav,boredom
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a07Nc.wav,neutral
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a07Wc.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03b01Fa.wav,happy
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03b01Lb.wav,boredom
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03b01Nb.wav,neutral
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03b01Td.wav,sad
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03b01Wa.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03b01Wc.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03b02Aa.wav,fear
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03b02La.wav,boredom
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03b02Na.wav,neutral
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03b02Tb.wav,sad
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03b02Wb.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03b03Nb.wav,neutral
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03b03Tc.wav,sad
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03b03Wc.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03b09La.wav,boredom
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03b09Nc.wav,neutral
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03b09Tc.wav,sad
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03b09Wa.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03b10Ab.wav,fear
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03b10Ec.wav,disgust
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03b10Na.wav,neutral
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03b10Nc.wav,neutral
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03b10Wb.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03b10Wc.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08a01Ab.wav,fear
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08a01Fd.wav,happy
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08a01Lc.wav,boredom
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08a01Na.wav,neutral
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08a01Wa.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08a01Wc.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08a02Ab.wav,fear
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08a02Ac.wav,fear
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08a02Fe.wav,happy
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08a02La.wav,boredom
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08a02Na.wav,neutral
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08a02Tb.wav,sad
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08a02Wc.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08a04Ff.wav,happy
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08a04La.wav,boredom
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08a04Nc.wav,neutral
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08a04Tb.wav,sad
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08a04Wc.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08a05Fe.wav,happy
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08a05Lc.wav,boredom
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08a05Nb.wav,neutral
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08a05Ta.wav,sad
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08a05Wa.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08a07Fd.wav,happy
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08a07La.wav,boredom
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08a07Na.wav,neutral
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08a07Ta.wav,sad
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08a07Tb.wav,sad
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08a07Wc.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08b01Aa.wav,fear
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08b01Fd.wav,happy
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08b01Fe.wav,happy
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08b01Lb.wav,boredom
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08b01Na.wav,neutral
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08b01Wa.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08b02Ff.wav,happy
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08b02La.wav,boredom
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08b02Nb.wav,neutral
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08b02Tc.wav,sad
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08b02Wd.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08b03Fe.wav,happy
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08b03Lc.wav,boredom
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08b03Nb.wav,neutral
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08b03Tc.wav,sad
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08b03Wd.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08b09Ab.wav,fear
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08b09Fd.wav,happy
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08b09Lc.wav,boredom
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08b09Nb.wav,neutral
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08b09Tb.wav,sad
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08b09Wa.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08b09Wc.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08b10Aa.wav,fear
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08b10Fd.wav,happy
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08b10La.wav,boredom
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08b10Nc.wav,neutral
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08b10Tc.wav,sad
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\08b10Wa.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\09a01Ea.wav,disgust
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\09a01Fa.wav,happy
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\09a01Nb.wav,neutral
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\09a01Wb.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\09a02Ea.wav,disgust
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\09a02Eb.wav,disgust
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\09a02La.wav,boredom
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\09a02Wb.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\09a04Fd.wav,happy
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\09a04La.wav,boredom
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\09a04Nb.wav,neutral
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\09a04Wa.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\09a05Ed.wav,disgust
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\09a05Lc.wav,boredom
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\09a05Nb.wav,neutral
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\09a05Tb.wav,sad
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\09a05Wb.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\09a05Wc.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\09a07Eb.wav,disgust
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\09a07Na.wav,neutral
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\09a07Ta.wav,sad
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\09a07Wb.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\09a07Wd.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\09b01Ea.wav,disgust
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\09b01Na.wav,neutral
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\09b01Wb.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\09b02Na.wav,neutral
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\09b02Tb.wav,sad
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\09b02Wc.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\09b02Wd.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\09b03Ed.wav,disgust
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\09b03Fa.wav,happy
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\09b03Fd.wav,happy
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\09b03Lb.wav,boredom
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\09b03Nb.wav,neutral
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\09b03Ta.wav,sad
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\09b03Wb.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\09b09Ea.wav,disgust
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\09b09Nd.wav,neutral
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\09b09Wa.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\09b10Aa.wav,fear
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\09b10Nd.wav,neutral
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\09b10Wa.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\10a01Ac.wav,fear
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\10a01Nb.wav,neutral
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\10a01Wa.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\10a02Ab.wav,fear
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\10a02Fa.wav,happy
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\10a02Lb.wav,boredom
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\10a02Na.wav,neutral
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\10a02Wa.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\10a04Fd.wav,happy
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\10a04Nb.wav,neutral
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\10a04Wa.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\10a04Wb.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\10a05Aa.wav,fear
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\10a05Ld.wav,boredom
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\10a05Tb.wav,sad
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\10a05Wb.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\10a07Aa.wav,fear
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\10a07Ad.wav,fear
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\10a07La.wav,boredom
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\10a07Ta.wav,sad
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\10a07Wb.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\10b01Aa.wav,fear
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\10b01Ea.wav,disgust
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\10b01Fa.wav,happy
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\10b01Lb.wav,boredom
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\10b02Aa.wav,fear
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\10b02La.wav,boredom
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\10b02Na.wav,neutral
